# Path distance (Angstrom), Energy (eV), Uncertainty (eV)
0.000000000000000000e+00 0.000000000000000000e+00 2.826157828088835498e-03
5.869859422689823747e-01 1.170970715257055872e-01 5.953603446524449380e-03
1.166293182748131319e+00 3.528723677803213832e-01 1.873911253963445739e-02
1.729754958450534730e+00 6.074546799305551303e-01 3.260139926787234549e-02
2.270897138713997343e+00 8.193247762868622885e-01 2.403491389162499062e-02
2.787311409755349523e+00 8.737518288540400135e-01 2.236200819996194463e-03
3.570306971236818505e+00 7.942848831921480723e-01 2.529742641122471533e-02
4.324115794528556656e+00 6.923022315604043797e-01 2.779559624754344982e-02
5.042960172748399472e+00 5.130303547053074453e-01 3.937885527993716106e-02
5.740963215891810023e+00 3.895299321598599818e-01 2.826215935366145626e-03
