# Path distance (Angstrom), Energy (eV), Uncertainty (eV)
0.000000000000000000e+00 0.000000000000000000e+00 1.394744241146175963e-02
4.921746796614731023e-01 1.008883217593563586e-01 3.284644187401652288e-02
9.828460334223019235e-01 2.836461319033105610e-01 1.383018870681558717e-02
1.471821466867705430e+00 3.894603951545150267e-01 1.361623281703472008e-02
1.953339639177094744e+00 4.665046249982083282e-01 1.127966947488600116e-02
2.421776230727676449e+00 4.846667173712830845e-01 1.107868308722054565e-02
2.994209779062888099e+00 3.989963163050447292e-01 1.310670996121916440e-02
3.539934532450487836e+00 1.430570025115400767e-01 2.198512443759964574e-02
4.059704647243759013e+00 -2.759335552785273649e-01 3.569163395758667007e-02
4.562149291325859224e+00 -5.844153420447071312e-01 1.391321434527779087e-02
