# Path distance (Angstrom), Energy (eV), Uncertainty (eV)
0.000000000000000000e+00 0.000000000000000000e+00 1.413025772282725662e-02
3.821425738968122765e-01 9.458319847649931944e-02 3.345911830926910635e-02
7.763568993836722498e-01 3.726546930697196558e-01 1.246043114020637180e-02
1.190445185700188535e+00 6.356924680477362699e-01 1.282503829583588745e-02
1.624665599260214144e+00 7.285764598449446794e-01 1.161209808531768299e-02
1.921702682674967688e+00 6.967761859952901204e-01 1.299377031334634537e-02
2.239349986636031353e+00 5.554860512765316116e-01 1.535421944905314591e-02
2.578224172262189473e+00 3.107488919928869109e-01 1.522830421504559918e-02
2.932414821610867861e+00 6.699834061835474586e-02 3.846684110774072074e-02
3.292733740657912467e+00 -3.634314140299466089e-06 1.413149205227907067e-02
